year	area	seas	datetime	check	transect	station	trapnum	Nindnum	sex	status	weight	species	marked	note
Z19	PORSANGER	FALL	100919	1	MASOY	G2	1D	E5A2	M	A	26	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G2	1C	AA1A	F	PL	38	GRAASIDEMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G4	1C	"""3E44"""	M	S	NA	MARKMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G4	1C	FA55	M	A	24	MARKMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G4	4D	F708	F	L	48	MARKMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G5	2A	EFA4	F	NP	17	ROEDMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G5	1B	E7F5	M	A	18	ROEDMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G5	1A	UNMFV	F	NP	12	MARKMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G6	2B	F886	M	A	16	ROEDMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G6	2A	69DD	F	NP	16	ROEDMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G6	1B	EC94	M	A	15	ROEDMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G6	1A	3A51	M	S	23	ROEDMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G8	3C	BAA0	F	PL	25	ROEDMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G8	3D	FB33	F	NP	22	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G8	3D	F653	M	A	18	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G8	4D	UNMFX	NA	NA	NA	SNØMUS		
Z19	PORSANGER	FALL	100919	1	MASOY	G8	4D	UNMFY	M	NA	NA	GRAASIDEMUS	N	DEAD WEASEL
