"";"year";"area";"seas";"datetime";"check";"transect";"station";"trapnum";"indnum_old";"Nindnum";"sex";"status";"weight";"species";"marked";"note"
"148";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G04";"3D";NA;"0007D3197E";"M";"S";"19";"ROEDMUS";"N";""
"149";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G04";"3B";NA;"0007D60873";"F";"C,L";"46";"FJELLROTTE";"N";""
"150";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G02";"3B";NA;"0007D3CC12";"M";"S";"25";"GRAASIDEMUS";"R";""
"151";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G02";"3B";NA;"0007D39E3E";"M";"S";"26";"GRAASIDEMUS";"R";""
"152";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G02";"3C";NA;"0007D604DF";"F";"O";"16";"GRAASIDEMUS";"N";""
"153";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G02";"4B";NA;"0007D3085C";"M";"S";"54";"GRAASIDEMUS";"N";""
"154";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G02";"4B";NA;"0007D613CF";"F";"O";"16";"GRAASIDEMUS";"N";""
"155";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G02";"4C";NA;"0007D30D57";"M";"S";"41";"GRAASIDEMUS";"N";""
"156";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G02";"4A";NA;"0007D60E2D";"M";"S";"34";"GRAASIDEMUS";"N";""
"157";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G01";"4B";NA;"0007D3DC13";"M";"A/S";"21";"GRAASIDEMUS";"N";""
"158";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G01";"4C";NA;"0007D2C1DA";"F";"O,L";"45";"GRAASIDEMUS";"N";""
"159";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G01";"4A";NA;"0007D60FC6";"M";"S";"21";"GRAASIDEMUS";"N";""
"160";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G01";"4A";NA;"0007D2C973";"M";"A/S";"24";"GRAASIDEMUS";"N";""
"161";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G01";"1D";NA;"0007DFA979";"M";"S";"46";"GRAASIDEMUS";"N";""
"162";2018;"PORSANGER";"SUMMER";160618;1;"MASOY";"G7";"3B";NA;"0007D60D46";"M";"S";"28";"ROEDMUS";"N";""
"163";2018;"PORSANGER";"SUMMER";160618;1;"MASOY";"G12";"3C";NA;"0007D60EEA";"F";"NP";"15,0";"GRAASIDEMUS";"N";""
"164";2018;"PORSANGER";"SUMMER";160618;1;"MASOY";"G13";"4A";NA;"0007D6069D";"F";"OP";"23,0";"ROEDMUS";"N";""
"165";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G20";"4B";NA;"0007D60914";"M";"S";"37,0";"GRAASIDEMUS";"N";""
"166";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G19";"4B";NA;"0007D60B2E";"M";"A/S";"18,0";"GRAASIDEMUS";"N";""
"167";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G16";"4B";NA;"0007D60B39";"M";"S";"46,0";"GRAASIDEMUS";"N";""
"168";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G14";"4D";NA;"0007D61048";"F";"OP";"26,0";"GRAASIDEMUS";"N";""
"169";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G13";"4A";NA;"0007D604A1";"M";"S";"23,0";"ROEDMUS";"N";""
"170";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G12";"3C";NA;"0007D60EEA";"M";"A";"16,0";"GRAASIDEMUS";"R";""
"171";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G12";"4C";NA;"0007D6055A";"F";"P";"45,0";"GRAASIDEMUS";"N";""
